UP-genes-Liang-and-Sun,Down-genes-Liang-and-Sun,UP-genes-MR-treat,Down-genes-MR-treat,UP-genes-MR-eBayes,Down-genes-MR-eBayes
CHI3L1,2-Mar,DTX4,IPCEF1,DTX4,IPCEF1
SERPINA1,ACACB,PROS1,ITPR1,PROS1,ITPR1
CITED1,ADGRA3,DPP4,CWH43,DPP4,CWH43
TENM1,ADH1B,SLC34A2,SLC4A4,PSD3,SLC4A4
CLDN1,ALDH1A1,PSD3,MATN2,NPC2,MATN2
SFTPB,ANK2,CITED1,DPP6,SLC34A2,DPP6
TACSTD2,AOX1,CLDN10,HGD,CLDN10,HGD
SLC34A2,BCL2,SERPINA1,GPM6A,CITED1,GPM6A
CYP1B1,BMP8A,ENTPD1,MPPED2,LGALS3,GHR
GDF15,CCL21,LGALS3,GHR,ENTPD1,MPPED2
DPP4,CDH16,NPC2,ITPR1,SERPINA1,ITPR1
DCSTAMP,CFD,FN1,PLCH1,GALE,PLCH1
PDLIM4,CITED2,QPCT,GPM6A,CFI,STARD13
LRP4,CLMN,SERPINA1,LIFR,QPCT,GPM6A
COMP,CPQ,CFI,HGD,CDH3,LIFR
HMGA2,CRABP1,CDH3,STARD13,FN1,HGD
RXRG,CSGALNACT1,AHNAK2,TFF3,MRC2,TFF3
ENTPD1,CTH,FN1,TPO,SERPINA1,ESRRG
ALOX5,CWH43,MRC2,ESRRG,TPD52L1,EFEMP1
SCEL,CXCL12,KLK10,ADH1B,AHNAK2,BMP8A
AHNAK2,DEPTOR,DCSTAMP,DIO1,TGFA,TPO
QPCT,DGKI,TGFA,LRP1B,RAB27A,ADH1B
CST6,DIO1,FN1,DGKI,FN1,LRP1B
CDH3,DIO2,ENTPD1,CWH43,ENTPD1,DIO1
AGR2,DPP6,TPD52L1,ZMAT4,ENTPD1,TCEAL2
KRT19,DPT,GALE,WWOX,KLK10,CWH43
FN1,EDN3,FN1,AOX1,DCSTAMP,EFEMP1
SLC27A6,EFEMP1,ABCC3,CRABP1,CAMK2N1,WWOX
PDZK1IP1,ELMO1,ENTPD1,PAPSS2,FN1,DGKI
TUSC3,EML1,CAMK2N1,PEG3,ABCC3,AOX1
KCNJ2,EPHA3,HMGA2,TTC30A,MXRA8,TCF7L1
PROS1,ESRRG,MXRA8,HLF,FN1,ZMAT4
LAMB3,FABP4,RAB27A,CLMN,P4HA2,PEG3
CAMK2N1,FAXDC2,LAMB3,SLC26A4,LAMB3,CLMN
PLXNC1,FCGBP,MET,KIT,MET,TTC30A
GALE,FGFR2,GGCT,ADH1B,GALNT7,CRABP1
DUSP5,FHL1,DPP4,SLITRK5,GGCT,CFD
DTX4,FMOD,GALNT7,RAP1GAP,HMGA2,LMOD1
PCSK2,GATM,P4HA2,CDH16,TPD52L1,PAPSS2
KLK10,GDF10,FN1,MT1F,DPP4,TLE1
PSD3,GHR,SFTPB,CTH,FN1,AKR1C1
RYR1,GLT8D2,RUNX1,ELMO1,SLC27A6,PID1
SLPI,GNA14,LOC101928269,HGD,KCNN4,ADH1B
TIAM1,GNAI1,LOC100506403,MT1F,LOC101928269,HLF
PDE5A,GPM6A,SFTPB,TLE1,LOC100506403,DPT
ABCC3,GSTM3,KCNJ2,PDE10A,RUNX1,KIT
GABBR2,HGD,KCNN4,SHANK2,SFTPB,SLITRK5
SDC4,ID4,CTSC,TNS3,KCNJ2,WFS1
NRCAM,IMPA2,HEY2,ADGRA3,CTSC,ATP2C2
TGFA,IPCEF1,TENM1,WASF3,SFTPB,EDN3
LCN2,IQGAP2,PSD3,SORBS2,PSD3,SLC26A4
CTSC,IRS1,LRP4,FABP4,HEY2,TNS3
DUSP4,ITPR1,KRT19,FHL1,SPINT1,BMP8A
TMPRSS4,KIAA1324,MUC1,CSGALNACT1,MUC1,RAP1GAP
MET,KIT,GABBR2,ALDH1A1,COL13A1,
COL13A1,LIFR,SPINT1,CITED2,KRT19,AKR1C2
ITGA2,LMOD1,SCEL,ATP2C2,TENM1,CDH16
ST6GALNAC5,LOC100506558,COL13A1,AGTR1,CCND1,HGD
KCNN4,MATN2,FN1,FCGBP,LRP4,CTH
LOC101928269,LOC101060817,PLXNC1,TBC1D4,GABBR2,SHANK2
LOC100506403,GCSH,EPS8,BEX1,FN1,ELMO1
RUNX1,LOC101930400,TIAM1,HLF,EPS8,PDE10A
COL1A1,AKR1C2,CCND1,PPARGC1A,SFTPB,MT1F
CLDN10,LRIG1LRP1B,TUSC3,LRIG1,SCEL,KCNAB1
NRP2,LRP2,ALDH1A3,NCAM1,TUSC3,ADGRA3
MPZL2,LRRC2,TMPRSS4,DEPTOR,DUSP4,SORBS2
GALNT7,LYVE1,NOD1,FHL1,ETV5,WASF3
LGALS3,MAFB,DUSP4,RGS16,DPYSL3,CSGALNACT1
CFI,MAGI2,NRCAM,PKNOX2,PLXNC1,ALDH1A1
TMC6,MINA,LCN2,IRS1,NOD1,TFPI
ALDH1A3,MLF1,CHI3L1,TNFRSF11B,TIAM1,FCGBP
LOC101927705,MPPED2,PDLIM4,SELENBP1,TMPRSS4,TBC1D4
P4HA2,MT1F,RAB27A,FAXDC2,TUSC3,FHL1
RAB27A,MT1G,PTPRE,SYNE1,RAB27A,FABP4
PTPRE,NCAM1,ETV5,ACACB,ST6GALNAC5,FGFR2
CD55,NUAK2,TUSC3,FGFR2,ALDH1A3,CITED2
ALOX15B,AKIP1,CDH6,MT1F,SFTPB,LRIG1
ETV5,OGDHL,RXRG,ZFPM2,PTPRE,RGS16
SEL1L3,PAPSS2,CHI3L1,OGDHL,NRCAM,DPT
NOD1,PDE10A,TUSC3,LRP2,CDH6,HSPB11
MXRA8,PEG3,CYP1B1,PAPSS2,LCN2,AGTR1
DUSP6,PID1,DUSP5,FHL1,GJB3,BEX1
BID,PKIA,GDF15,TBC1D4,PDLIM4,IRS1
GGCT,PKNOX2,TACSTD2,CA4,TUSC3,HLF
COL8A2,PLA2G7,GJB3,HSPB11,CHI3L1,NCAM1
ZMAT3,PLCH1,MPZL2,FGFR2,RXRG,OGDHL
HEY2,PPARGC1A,PDZK1IP1,HBB,CD55,SELENBP1
CDC42EP3,PRKCQ,PDLIM4,FHL1,CFB,FHL1
MUC1,RAP1GAP,COMP,IQGAP2,DUSP6,DEPTOR
PRSS23,RGS16,PRSS23,EPHA3,COMP,GLDC
TNIK,RYR2,TNFRSF21,VLDLR,MUC1,AKR1C2
PLAG1,SDPR,TIMP1,BCL2,PRSS23,ACACB
PRSS2,SELENBP1,DPP4,MAFB,MFGE8,PPARGC1A
TBC1D2,SHANK2,CYP1B1,MAGI2,DUSP5,FAXDC2
PTP4A3,SLC26A4,SDC4,MLLT3,MPZL2,PKNOX2
ARMCX3,SLC4A4,CTSH,PKNOX2,PDZK1IP1,FHL1
MRC2,SORBS2,MFGE8,SLC39A14,GDF15,TNFRSF11B
NOX4,SORD,,POLI,CYP1B1,TBC1D4
NFE2L3,STARD13,,,DPP4,HBA2
CCND1,SYNE1,,,CHI3L1,HBA1
SPINT1,TBC1D4,,,PDLIM4,SYNE1
CDH6,TCEAL2,,,TACSTD2,PAPSS2
COL8A1,TFCP2L1,,,TNFRSF21,CA4
KLHDC8A,TFF3,,,PCSK2,MT1F
DDB2,TFPI,,,IGF2BP2,FGFR2
TPD52L1,TLE4,,,RYR1,ZFPM2
EPS8,TNFRSF11B,,,SDC4,TLE4
TNFRSF21,TNS3,,,TIMP1,LRP2
NPC2,TPO,,,ITGA3,FHL1
IGSF3,TPPP,,,BID,MLLT3
GJB3,TTC30A,,,CYP1B1,BCL2
SOX4,VLDLR,,,CTSH,HBB
MAMLD1,WASF3,,,CDC42EP3,MAFB
ITGA3,WFS1,,,SLPI,SLC39A14
,WWOX,,,AGR2,VLDLR
,ZFPM2,,,DIRAS3,EPHA3
,ZMAT4,,,COL1A1,POLI
,,,,MPZL2,MAGI2
,,,,ARMCX3,IQGAP2
,,,,RAB27A,GCSH
,,,,DUSP6,ANK2
,,,,COL1A1,MMRN1
,,,,PDLIM4,HBA2
,,,,ALOX5,HBA1
,,,,CST6,GCSH
,,,,COL8A2,HBB
,,,,S100A11,PKNOX2
,,,,CYP1B1,CXCL12
,,,,TMC6,MLLT3
,,,,BID,HBB
,,,,TYMS,RIOX2
,,,,CHST2,PLA2G7
,,,,,CPQ
,,,,,HSD17B6
,,,,,MT1M
,,,,,MT1H
,,,,,CCL21
,,,,,FMOD
,,,,,SDC2
,,,,,SLC1A1
,,,,,HBA2
,,,,,HBA1
,,,,,FLRT2
,,,,,HBA2
,,,,,HBA1
,,,,,DIO2
,,,,,ID4
,,,,,HSD17B6
,,,,,HBA2
,,,,,HBA1
,,,,,HBA2
,,,,,HBA1
,,,,,CDC14B